"Medicare Part B Drug Spending and Utilization, Calendar Years 2012 - 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2012,,,,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,,Yearly Change,
J2010,"Injection, lincomycin hcl, up to 300 mg",Lincocin*,Lincomycin HCL*,"$1,190,042","181,376","119,752","78,077",$6.56,$9.94,$15.24,"$1,226,142","168,148","110,411","72,523",$7.29,$11.11,$16.91,"$1,199,171","144,876","98,653","64,777",$8.28,$12.16,$18.51,"$1,210,380","126,928","86,428","58,118",$9.54,$14.00,$20.83,"$1,153,608","105,834","71,708","48,391",$10.90,$16.09,$23.84,$11.50,14.31%,13.53%
J2020,"Injection, linezolid, 200 mg",Linezolid*,Linezolid*,"$1,664,181","45,081","4,248","2,910",$36.92,$391.76,$571.88,"$1,712,202","43,842","3,944","2,826",$39.05,$434.13,$605.87,"$1,664,981","39,401","3,738","2,629",$42.26,$445.42,$633.31,"$1,583,903","38,877","3,796","2,500",$40.74,$417.26,$633.56,"$601,838","31,976","2,975","1,927",$18.82,$202.30,$312.32,$18.27,-53.80%,-15.50%
J2778,"Injection, ranibizumab, 0.1 mg",Lucentis,Ranibizumab,"$1,268,139,093","3,175,185","605,711","135,259",$399.39,"$2,093.64","$9,375.64","$1,352,411,993","3,445,948","678,511","143,516",$392.46,"$1,993.21","$9,423.42","$1,331,353,226","3,412,640","674,502","141,615",$390.12,"$1,973.83","$9,401.22","$1,150,332,952","2,970,511","573,898","119,679",$387.25,"$2,004.42","$9,611.82","$1,044,324,411","2,761,086","525,210","106,408",$378.23,"$1,988.39","$9,814.34",$384.95,-2.33%,-1.35%
J0221,"Injection, alglucosidase alfa, (lumizyme), 10 mg",Lumizyme,Alglucosidase Alfa,"$46,349,611","307,050","1,782",98,$150.95,"$26,009.88","$472,955.21","$49,370,773","326,058","1,848",111,$151.42,"$26,715.79","$444,781.74","$55,802,768","390,411","1,997",119,$142.93,"$27,943.30","$468,930.82","$55,788,411","370,064","1,904",113,$150.75,"$29,300.64","$493,702.75","$61,558,100","399,960","2,021",122,$153.91,"$30,459.23","$504,574.59",$156.74,2.09%,0.49%
J1950,"Injection, leuprolide acetate (for depot suspension), per 3.75 mg",Lupron Depot*,Leuprolide Acetate*,"$2,828,911","4,565","1,881",928,$619.70,"$1,503.94","$3,048.40","$2,579,942","3,742","1,746",817,$689.46,"$1,477.63","$3,157.82","$2,836,108","3,706","1,767",783,$765.32,"$1,605.04","$3,622.11","$2,954,185","3,677","1,789",739,$803.42,"$1,651.31","$3,997.54","$4,421,994","4,875","2,147",892,$907.08,"$2,059.62","$4,957.39",$969.98,12.90%,9.99%
J3475,"Injection, magnesium sulfate, per 500 mg",Magnesium Sulfate,Magnesium Sulfate,"$74,725","669,323","161,536","29,504",$0.11,$0.46,$2.53,"$107,959","563,611","135,556","26,179",$0.19,$0.80,$4.12,"$125,635","619,429","127,039","23,837",$0.20,$0.99,$5.27,"$128,800","642,992","128,275","24,318",$0.20,$1.00,$5.30,"$131,176","551,720","129,393","24,290",$0.24,$1.01,$5.40,$0.24,18.69%,20.80%
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Magnevist*,Gadopentetate Dimeglumine*,"$10,991,916","5,586,958","358,212","320,408",$1.97,$30.69,$34.31,"$8,991,437","4,935,742","318,656","285,886",$1.82,$28.22,$31.45,"$8,105,476","4,190,837","273,315","246,345",$1.93,$29.66,$32.90,"$7,193,324","3,754,788","243,771","219,811",$1.92,$29.51,$32.73,"$5,468,715","2,998,658","194,822","175,496",$1.82,$28.07,$31.16,$1.87,-4.80%,-1.88%
J2150,"Injection, mannitol, 25% in 50 ml",Mannitol,Mannitol,"$46,737","32,216","21,989","6,706",$1.45,$2.13,$6.97,"$49,583","28,488","19,702","5,412",$1.74,$2.52,$9.16,"$60,750","33,057","23,753","5,567",$1.84,$2.56,$10.91,"$48,087","31,101","21,899","5,207",$1.55,$2.20,$9.24,"$48,199","29,798","21,329","4,928",$1.62,$2.26,$9.78,$1.66,4.62%,2.76%
J9371,"Injection, vincristine sulfate liposome, 1 mg",Marqibo,Vincristine Sulfate Liposomal,,,,,,,,,,,,,,,"$1,249,837",675,205,75,"$1,851.61","$6,096.77","$16,664.49","$868,688",422,94,41,"$2,058.50","$9,241.36","$21,187.52","$1,602,084",697,143,48,"$2,298.54","$11,203.39","$33,376.76","$2,433.04",11.66%,11.42%
J7509,"Methylprednisolone oral, per 4 mg",Medrol*,MethylprednIsolone*,"$36,118","44,286","1,157",239,$0.82,$31.22,$151.12,"$25,976","39,049","1,306",333,$0.67,$19.89,$78.00,"$20,076","36,581","1,265",320,$0.55,$15.87,$62.74,"$13,375","28,361","1,035",267,$0.47,$12.92,$50.09,"$9,448","30,326",956,166,$0.31,$9.88,$56.92,$0.32,-33.93%,-21.38%
J2185,"Injection, meropenem, 100 mg",Meropenem*,Meropenem*,"$177,529","100,241","5,427",380,$1.77,$32.71,$467.18,"$100,553","73,550","4,211",337,$1.37,$23.88,$298.38,"$76,774","65,100","4,112",419,$1.18,$18.67,$183.23,"$132,487","114,208","5,222",498,$1.16,$25.37,$266.04,"$157,694","103,375","6,352",612,$1.53,$24.83,$257.67,$1.38,31.50%,-3.66%
J9209,"Injection, mesna, 200 mg",Mesna*,Mesna*,"$254,931","61,343","5,102",761,$4.16,$49.97,$334.99,"$157,662","52,104","4,721",640,$3.03,$33.40,$246.35,"$132,014","46,899","4,160",574,$2.81,$31.73,$229.99,"$110,074","38,006","3,160",485,$2.90,$34.83,$226.96,"$128,832","40,166","3,384",434,$3.21,$38.07,$296.85,$3.21,10.75%,-6.27%
J1230,"Injection, methadone hcl, up to 10 mg",Methadone HCL,Methadone HCL,"$1,943",279,249,84,$6.96,$7.80,$23.13,"$1,533",215,199,71,$7.13,$7.70,$21.59,"$1,507",203,190,74,$7.42,$7.93,$20.37,"$2,241",237,215,71,$9.45,$10.42,$31.56,"$2,522",200,197,72,$12.61,$12.80,$35.03,$13.02,33.39%,16.00%
J2800,"Injection, methocarbamol, up to 10 ml",Methocarbamol*,Methocarbamol*,"$58,980","2,116","1,931","1,216",$27.87,$30.54,$48.50,"$84,494","2,639","2,489","1,389",$32.02,$33.95,$60.83,"$104,691","2,947","2,821","1,384",$35.52,$37.11,$75.64,"$108,868","2,462","2,334","1,118",$44.22,$46.64,$97.38,"$489,117","12,431","11,221","7,813",$39.35,$43.59,$62.60,$40.45,-11.02%,9.00%
J8610,"Methotrexate; oral, 2.5 mg",Methotrexate (J8610)*,Methotrexate Sodium*,"$2,566","18,048",646,154,$0.14,$3.97,$16.66,"$11,578","22,468",714,159,$0.52,$16.22,$72.82,"$26,974","26,310",980,236,$1.03,$27.52,$114.30,"$34,841","23,876",924,223,$1.46,$37.71,$156.24,"$28,012","24,303",855,183,$1.15,$32.76,$153.07,$1.16,-21.01%,68.75%
J9250,"Methotrexate sodium, 5 mg",Methotrexate (J9250)*,Methotrexate Sodium*,"$55,719","300,695","81,948","6,545",$0.19,$0.68,$8.51,"$62,404","280,818","74,617","6,227",$0.22,$0.84,$10.02,"$62,415","272,845","69,489","6,198",$0.23,$0.90,$10.07,"$61,217","264,172","66,783","6,220",$0.23,$0.92,$9.84,"$56,584","244,954","63,317","5,888",$0.23,$0.89,$9.61,$0.24,-0.32%,5.67%
J9260,"Methotrexate sodium, 50 mg",Methotrexate (J9260)*,Methotrexate Sodium*,"$124,621","68,219","41,797","4,180",$1.83,$2.98,$29.81,"$132,473","59,290","36,535","3,735",$2.23,$3.63,$35.47,"$114,354","50,061","33,816","3,619",$2.28,$3.38,$31.60,"$103,302","44,969","32,416","3,286",$2.30,$3.19,$31.44,"$102,831","44,496","32,240","3,469",$2.31,$3.19,$29.64,$2.36,0.60%,6.05%
J2920,"Injection, methylprednisolone sodium succinate, up to 40 mg",MethylprednIsolone Sodium Succ (J2920)*,MethylprednIsolone Sod Succ*,"$300,097","152,312","91,231","49,393",$1.97,$3.29,$6.08,"$252,076","142,923","88,798","46,868",$1.76,$2.84,$5.38,"$239,836","132,169","88,364","46,116",$1.81,$2.71,$5.20,"$305,412","135,751","88,982","46,067",$2.25,$3.43,$6.63,"$464,426","147,223","92,124","45,935",$3.15,$5.04,$10.11,$3.23,40.22%,12.49%
J2930,"Injection, methylprednisolone sodium succinate, up to 125 mg",MethylprednIsolone Sodium Succ (J2930)*,MethylprednIsolone Sod Succ*,"$913,842","321,595","199,882","116,635",$2.84,$4.57,$7.84,"$859,911","330,112","203,478","118,418",$2.60,$4.23,$7.26,"$861,184","324,327","205,791","119,762",$2.66,$4.18,$7.19,"$1,140,968","348,587","226,432","134,782",$3.27,$5.04,$8.47,"$1,669,313","370,532","241,794","139,702",$4.51,$6.90,$11.95,$4.60,37.64%,12.21%
J2765,"Injection, metoclopramide hcl, up to 10 mg",Metoclopramide HCL,Metoclopramide HCL,"$8,484","17,258","13,481","4,792",$0.49,$0.63,$1.77,"$16,348","24,152","15,813","4,680",$0.68,$1.03,$3.49,"$19,417","22,295","14,587","4,344",$0.87,$1.33,$4.47,"$18,056","18,676","12,436","4,117",$0.97,$1.45,$4.39,"$13,697","16,691","11,528","3,939",$0.82,$1.19,$3.48,$0.74,-15.12%,13.67%
J0630,"Injection, calcitonin salmon, up to 400 units",Miacalcin,"Calcitonin,salmon,synthetic","$298,076","280,726",646,107,$1.06,$461.42,"$2,785.76","$176,326","166,109",330,55,$1.06,$534.32,"$3,205.93","$515,689","137,187",236,36,$3.76,"$2,185.12","$14,324.69","$1,213,790","164,824",188,23,$7.36,"$6,456.33","$52,773.47","$1,810,486","146,951",148,25,$12.32,"$12,233.01","$72,419.43","$2,254.04",67.30%,84.56%
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL*,Midazolam HCL*,"$66,950","444,067","172,465","95,402",$0.15,$0.39,$0.70,"$91,714","532,927","201,322","104,163",$0.17,$0.46,$0.88,"$77,969","538,683","205,291","104,000",$0.14,$0.38,$0.75,"$72,541","531,223","203,332","102,978",$0.14,$0.36,$0.70,"$77,509","542,843","205,772","105,077",$0.14,$0.38,$0.74,$0.13,4.56%,-1.35%
J9280,"Injection, mitomycin, 5 mg",Mitomycin,Mitomycin,"$4,339,677","227,422","38,092","20,519",$19.08,$113.93,$211.50,"$5,743,802","246,289","39,344","21,507",$23.32,$145.99,$267.07,"$5,855,218","265,272","40,932","21,592",$22.07,$143.05,$271.18,"$15,784,651","271,741","39,634","20,908",$58.09,$398.26,$754.96,"$19,875,997","206,361","31,391","18,950",$96.32,$633.18,"$1,048.87",$102.87,65.81%,49.89%
J9293,"Injection, mitoxantrone hydrochloride, per 5 mg",Mitoxantrone HCL,Mitoxantrone HCL,"$547,209","16,391","3,664","1,109",$33.38,$149.35,$493.43,"$384,758","10,529","2,347",791,$36.54,$163.94,$486.42,"$287,590","8,691","1,930",637,$33.09,$149.01,$451.48,"$253,250","7,908","1,699",577,$32.02,$149.06,$438.91,"$230,153","7,045","1,468",510,$32.67,$156.78,$451.28,$33.50,2.01%,-0.54%
J7327,"Hyaluronan or derivative, monovisc, for intra-articular injection, per dose",Monovisc,"Hyaluronate Sodium, Stabilized",,,,,,,,,,,,,,,,,,,,,,"$22,248,204","36,556","18,321","16,224",$608.61,"$1,214.36","$1,371.31","$37,842,947","41,863","32,738","27,694",$903.97,"$1,155.93","$1,366.47",$924.49,48.53%,48.53%
J2270,"Injection, morphine sulfate, up to 10 mg",Morphine Sulfate*,Morphine Sulfate*,"$120,784","113,049","17,579","10,142",$1.07,$6.87,$11.91,"$136,699","53,553","16,098","8,824",$2.55,$8.49,$15.49,"$139,851","108,432","16,432","8,743",$1.29,$8.51,$16.00,"$169,467","238,923","15,809","8,145",$0.71,$10.72,$20.81,"$125,608","153,445","14,575","7,697",$0.82,$8.62,$16.32,$1.17,15.41%,-6.44%
J2562,"Injection, plerixafor, 1 mg",Mozobil,Plerixafor,"$13,501,035","47,880","1,686","1,084",$281.98,"$8,007.73","$12,454.83","$15,188,423","52,260","1,867","1,176",$290.63,"$8,135.20","$12,915.33","$16,025,848","54,270","2,052","1,299",$295.30,"$7,809.87","$12,337.07","$19,637,594","65,560","2,493","1,552",$299.54,"$7,877.09","$12,653.09","$21,356,532","70,223","2,716","1,721",$304.12,"$7,863.23","$12,409.37",$309.60,1.53%,1.91%
A9577,"Injection, gadobenate dimeglumine (multihance), per ml",Multihance,Gadobenate Dimeglumine,"$2,101,993","917,414","62,608","56,875",$2.29,$33.57,$36.96,"$2,220,094","931,342","66,267","59,910",$2.38,$33.50,$37.06,"$2,084,109","961,387","69,087","62,715",$2.17,$30.17,$33.23,"$2,228,360","1,046,779","73,801","66,672",$2.13,$30.19,$33.42,"$2,357,452","1,147,730","81,347","72,910",$2.05,$28.98,$32.33,$2.10,-3.51%,-2.70%
A9578,"Injection, gadobenate dimeglumine (multihance multipack), per ml",Multihance Multipack,Gadobenate Dimeglumine,"$173,887","80,671","6,649","5,941",$2.16,$26.15,$29.27,"$153,940","73,984","6,286","5,584",$2.08,$24.49,$27.57,"$103,054","66,644","5,966","5,318",$1.55,$17.27,$19.38,"$129,360","61,823","5,786","5,158",$2.09,$22.36,$25.08,"$162,918","81,126","7,429","6,662",$2.01,$21.93,$24.45,$2.01,-4.02%,-1.75%
J9230,"Injection, mechlorethamine hydrochloride, (nitrogen mustard), 10 mg",Mustargen,Mechlorethamine HCL,"$8,350",93,72,58,$89.78,$115.97,$143.96,"$28,453",253,199,105,$112.46,$142.98,$270.98,"$27,795",235,163,96,$118.28,$170.52,$289.53,"$19,014",138,110,66,$137.78,$172.86,$288.09,"$18,423",119,81,60,$154.82,$227.45,$307.06,$253.91,12.36%,14.59%
J2248,"Injection, micafungin sodium, 1 mg",Mycamine,Micafungin Sodium,"$1,182,256","1,250,164","5,293","1,188",$0.95,$223.36,$995.16,"$1,410,209","1,508,813","6,721","1,381",$0.93,$209.82,"$1,021.15","$1,354,293","1,399,654","6,858","1,315",$0.97,$197.48,"$1,029.88","$1,288,059","1,446,115","6,434","1,243",$0.89,$200.20,"$1,036.25","$196,730","206,267","1,567",147,$0.95,$125.55,"$1,338.30",$0.96,7.08%,0.21%
J7518,"Mycophenolic acid, oral, 180 mg",Mycophenolic Acid*,Mycophenolate Sodium*,"$108,291,161","31,437,163","179,233","22,691",$3.44,$604.19,"$4,772.43","$124,121,100","33,891,187","196,389","24,609",$3.66,$632.02,"$5,043.73","$132,982,163","36,001,146","211,548","26,172",$3.69,$628.61,"$5,081.09","$116,281,549","38,074,162","225,951","27,499",$3.05,$514.63,"$4,228.57","$116,636,696","39,412,188","236,993","28,922",$2.96,$492.15,"$4,032.80",$3.01,-3.10%,-3.72%
J8510,"Busulfan; oral, 2 mg",Myleran,Busulfan,"$27,054","5,801",145,53,$4.66,$186.58,$510.45,"$12,085","1,514",70,23,$7.98,$172.65,$525.45,"$17,100","1,592",78,23,$10.74,$219.23,$743.46,"$21,765","1,752",70,24,$12.42,$310.92,$906.86,"$93,106","4,956",189,44,$18.79,$492.62,"$2,116.04",$18.88,51.23%,41.67%
J0587,"Injection, rimabotulinumtoxinb, 100 units",Myobloc,Rimabotulinumtoxinb,"$5,809,766","538,708","5,986","2,993",$10.78,$970.56,"$1,941.12","$5,727,532","536,937","6,310","3,240",$10.67,$907.69,"$1,767.76","$6,450,857","586,321","7,278","3,610",$11.00,$886.35,"$1,786.94","$6,874,918","615,045","7,657","3,640",$11.18,$897.86,"$1,888.71","$7,723,228","676,489","8,430","3,976",$11.42,$916.16,"$1,942.46",$11.65,2.14%,1.43%
J2300,"Injection, nalbuphine hydrochloride, per 10 mg",Nalbuphine HCL,Nalbuphine HCL,"$70,046","79,948","48,298","15,296",$0.88,$1.45,$4.58,"$57,598","52,314","30,691","8,709",$1.10,$1.88,$6.61,"$84,973","44,533","28,472","8,357",$1.91,$2.98,$10.17,"$94,634","39,646","24,742","7,617",$2.39,$3.82,$12.42,"$62,455","27,034","20,471","6,577",$2.31,$3.05,$9.50,$2.40,-3.21%,27.43%
J2310,"Injection, naloxone hydrochloride, per 1 mg",Naloxone HCL,Naloxone HCL,"$16,430","1,830","1,032",864,$8.98,$15.92,$19.02,"$19,484","1,402",732,591,$13.90,$26.62,$32.97,"$29,827","1,182",634,482,$25.23,$47.05,$61.88,"$23,958",934,572,445,$25.65,$41.88,$53.84,"$12,047",478,347,310,$25.20,$34.72,$38.86,$31.26,-1.77%,29.43%
J2795,"Injection, ropivacaine hydrochloride, 1 mg",Naropin*,Ropivacaine HCL/PF*,"$6,114","117,700","8,069","4,762",$0.05,$0.76,$1.28,"$7,072","72,589","4,707","2,954",$0.10,$1.50,$2.39,"$8,199","72,644","5,208","3,185",$0.11,$1.57,$2.57,"$9,654","99,232","7,091","4,322",$0.10,$1.36,$2.23,"$11,458","153,498","8,484","5,035",$0.07,$1.35,$2.28,$0.08,-23.27%,9.49%
J9390,"Injection, vinorelbine tartrate, 10 mg",Navelbine*,Vinorelbine Tartrate*,"$3,259,857","315,982","62,632","9,149",$10.32,$52.05,$356.31,"$1,462,800","147,780","33,468","4,350",$9.90,$43.71,$336.28,"$1,288,150","125,146","28,274","3,591",$10.29,$45.56,$358.72,"$911,876","91,463","20,739","2,616",$9.97,$43.97,$348.58,"$651,975","63,128","14,473","1,812",$10.33,$45.05,$359.81,$10.50,3.59%,0.03%
J2545,"Pentamidine isethionate, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 300 mg",Nebupent,Pentamidine Isethionate,"$44,271",817,794,230,$54.19,$55.76,$192.48,"$54,648",738,738,220,$74.05,$74.05,$248.40,"$79,184",931,921,261,$85.05,$85.98,$303.39,"$100,768",983,978,265,$102.51,$103.03,$380.26,"$113,589","1,054","1,048",258,$107.77,$108.39,$440.27,$111.42,5.13%,18.75%
J2400,"Injection, chloroprocaine hydrochloride, per 30 ml",Nesacaine*,Chloroprocaine HCL*,"$34,511","2,930","1,364",800,$11.78,$25.30,$43.14,"$37,093","2,624","1,427",865,$14.14,$25.99,$42.88,"$29,131","1,625","1,319",695,$17.93,$22.09,$41.91,"$18,168",921,619,327,$19.73,$29.35,$55.56,"$6,492",357,249,158,$18.18,$26.07,$41.09,$23.89,-7.82%,11.47%
J2505,"Injection, pegfilgrastim, 6 mg",Neulasta,Pegfilgrastim,"$1,060,046,676","380,209","365,011","103,396","$2,788.06","$2,904.15","$10,252.30","$1,098,433,150","371,056","355,862","100,804","$2,960.29","$3,086.68","$10,896.72","$1,174,026,333","358,979","343,411","98,540","$3,270.46","$3,418.72","$11,914.21","$1,261,620,116","355,281","339,429","96,666","$3,551.05","$3,716.89","$13,051.33","$1,375,670,105","355,576","339,146","95,960","$3,868.85","$4,056.28","$14,335.87","$3,938.12",8.95%,8.54%
J2355,"Injection, oprelvekin, 5 mg",Neumega,Oprelvekin,"$2,085,258","8,575","7,549",917,$243.18,$276.23,"$2,274.00","$1,726,460","6,526","5,841",746,$264.55,$295.58,"$2,314.29","$1,361,917","4,686","4,199",591,$290.64,$324.34,"$2,304.43","$988,575","2,787","2,585",290,$354.71,$382.43,"$3,408.88","$69,302",163,162,42,$425.17,$427.79,"$1,650.05",$448.65,19.86%,14.99%
J1442,"Injection, filgrastim (g-csf), excludes biosimilars, 1 microgram",Neupogen,Filgrastim,,,,,,,,,,,,,,,"$144,722,087","147,765,757","295,596","43,861",$0.98,$489.59,"$3,299.56","$127,760,572","130,501,216","262,092","39,242",$0.98,$487.46,"$3,255.71","$88,924,603","89,979,881","180,678","29,878",$0.99,$492.17,"$2,976.26",$1.00,0.95%,0.45%
J9268,"Injection, pentostatin, 10 mg",Nipent,Pentostatin,"$1,075,882","1,142","1,079",297,$942.10,$997.11,"$3,622.50","$1,264,984",933,877,240,"$1,355.82","$1,442.40","$5,270.77","$806,609",566,500,139,"$1,425.10","$1,613.22","$5,802.94","$872,369",595,555,117,"$1,466.17","$1,571.84","$7,456.15","$938,571",559,500,108,"$1,679.02","$1,877.14","$8,690.47","$1,744.94",14.52%,15.54%
J7189,"Factor viia (antihemophilic factor, recombinant), per 1 microgram",Novoseven RT,"Coagulation Factor VIIA,recomb","$111,544,564","4,426,095","2,105",200,$25.20,"$52,990.29","$557,722.82","$117,488,828","2,967,741","2,238",225,$39.59,"$52,497.24","$522,172.57","$108,850,454","2,741,817","1,997",176,$39.70,"$54,506.99","$618,468.49","$98,775,594","6,139,886","1,684",187,$16.09,"$58,655.34","$528,211.73","$78,513,122","2,572,599","1,663",148,$30.52,"$47,211.74","$530,494.07",$1.92,89.71%,4.90%
J2796,"Injection, romiplostim, 10 micrograms",NPlate,Romiplostim,"$97,171,670","2,052,679","47,374","2,767",$47.34,"$2,051.16","$35,118.06","$114,344,638","2,301,962","53,238","3,121",$49.67,"$2,147.80","$36,637.18","$135,034,251","2,608,335","59,861","3,509",$51.77,"$2,255.80","$38,482.26","$158,926,955","2,876,944","65,086","3,777",$55.24,"$2,441.80","$42,077.56","$184,121,480","3,089,674","69,708","3,976",$59.59,"$2,641.32","$46,308.22",$60.63,7.88%,5.92%
J0485,"Injection, belatacept, 1 mg",Nulojix,Belatacept,,,,,,,,"$8,546,987","2,290,169","4,009",592,$3.73,"$2,131.95","$14,437.48","$14,984,451","4,007,358","7,259",969,$3.74,"$2,064.26","$15,463.83","$20,603,509","5,516,890","10,448","1,357",$3.73,"$1,972.01","$15,183.13","$30,619,170","8,148,024","15,606","1,986",$3.76,"$1,962.01","$15,417.51",$3.82,0.62%,0.23%
J1568,"Injection, immune globulin, (octagam), intravenous, non-lyophilized (e.g., liquid), 500 mg",Octagam,Immun Globg(Igg)/Malt/Iga Ov50,"$54,419,967","1,461,018","20,811","4,107",$37.25,"$2,614.96","$13,250.54","$88,845,373","2,852,990","40,032","6,512",$31.14,"$2,219.36","$13,643.33","$88,435,887","2,752,324","37,710","6,385",$32.13,"$2,345.16","$13,850.57","$165,977,717","4,234,691","56,249","8,155",$39.19,"$2,950.77","$20,352.88","$229,545,084","5,697,936","73,729","10,676",$40.29,"$3,113.36","$21,501.04",$41.01,2.78%,1.98%
J2354,"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg",Octreotide Acetate*,Octreotide Acetate*,"$2,647","1,736",232,92,$1.52,$11.41,$28.77,"$50,382","36,493",364,82,$1.38,$138.41,$614.41,"$59,132","43,244",283,72,$1.37,$208.95,$821.28,"$107,675","32,967",100,35,$3.27,"$1,076.75","$3,076.42","$181,003","30,935",68,21,$5.85,"$2,661.81","$8,619.21",$1.15,79.14%,39.96%
Q9965,"Low osmolar contrast material, 100-199 mg/ml iodine concentration, per ml",Omnipaque*,Iohexol*,"$2,422,080","2,729,777","65,272","45,350",$0.89,$37.11,$53.41,"$1,971,480","2,228,801","55,578","39,238",$0.88,$35.47,$50.24,"$1,977,727","2,044,668","55,491","37,686",$0.97,$35.64,$52.48,"$1,325,321","1,513,228","45,940","31,770",$0.88,$28.85,$41.72,"$1,000,388","1,340,839","46,159","31,740",$0.75,$21.67,$31.52,$0.85,-14.81%,-4.24%
J9266,"Injection, pegaspargase, per single dose vial",Oncaspar,Pegaspargase,"$563,495",116,75,31,"$4,857.72","$7,513.27","$18,177.27","$669,465",114,80,47,"$5,872.50","$8,368.31","$14,243.93","$1,148,802",193,143,60,"$5,952.34","$8,033.58","$19,146.70","$860,529",141,107,62,"$6,103.05","$8,042.33","$13,879.51","$3,020,698",292,193,81,"$10,344.85","$15,651.28","$37,292.56","$12,854.70",69.50%,20.80%
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL (J2405)*,Ondansetron HCL*,"$843,771","5,457,499","343,037","74,554",$0.15,$2.46,$11.32,"$684,057","4,358,965","345,831","73,994",$0.16,$1.98,$9.24,"$442,090","4,328,790","357,657","76,867",$0.10,$1.24,$5.75,"$352,509","4,065,649","353,465","78,234",$0.09,$1.00,$4.51,"$410,022","3,921,850","352,325","78,911",$0.10,$1.16,$5.20,$0.10,20.58%,-9.32%
Q0162,"Ondansetron 1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen",Ondansetron HCL (Q0162)*,Ondansetron HCL*,"$76,423","1,015,188","14,346","4,731",$0.08,$5.33,$16.15,"$8,376","129,222","7,789","1,577",$0.06,$1.08,$5.31,"$9,435","84,421","4,780","1,381",$0.11,$1.97,$6.83,"$9,112","106,874","5,443","1,390",$0.09,$1.67,$6.56,"$23,887","95,875","5,001","1,315",$0.25,$4.78,$18.17,$0.27,192.22%,34.88%
